prompt,Data_address,Label,Related,Problem Type
"There are three popular items (M1,M2, M3) in a local supermarket, each with a profit margin of w_1, w_2, and w_3 respectively. Each product has its own independent demand stream. The supermarket's goal is to determine which customer demands to meet over a fixed sales period [0,20] to maximize the total expected revenue based on the current stock levels. The inventory capacity for these three items is c_1, c_2, and c_3 respectively. During the sales period, restocking is not possible, and there are no goods currently being shipped. Customers who wish to buy P1, P2, and P3 arrive during each period following a Poisson process, with arrival rates of a_1, a_2, and a_3 respectively. The decision variables y_1, y_2, and y_3 represent the number of requests the supermarket plans to fulfill for products 1, 2, and 3, respectively. These decision variables must be positive integers.Profit information: w_1 = 31,w_2 = 42,w_3 = 67; Inventory information: c_1 = 372, c_2 = 465, c_3 =892; Demand information: a_1 = 15, a_2 = 20, a_3 = 40.",,"max 31y_1 + 42y_2 + 67y_3
subject to 
    y_1 <= 372
    y_2 <= 465
    y_3 <= 892
    y_1 <= 300
    y_2 <= 400
    y_3 <= 800
    y_1,y_2,y_3 ∈ Z+",,Others without CSV -Network Revenue Management
"An investor is considering four different investment projects: x1, x2, x3, and x4. The expected returns for each project are 10%, 15%, 20%, and 25%, respectively, while the risk levels are 5, 10, 15, and 20, respectively. The investor has a total amount of $100,000 to invest, and due to certain investment strategy requirements, the funds must be allocated to all investment projects, but no more than half of the total amount can be allocated to any one project. Additionally, the investor wants to manage investment risks and has set the following constraints: - The total investment amount for x1 and x2 should be at least 25% of the total funds. - The total investment amount for x3 and x4 should not exceed 40% of the total funds. Now, the investor wants to maximize the expected returns of the investment portfolio while satisfying all constraints. How should the investment funds be allocated to achieve the maximum expected returns? # Response:",,"max 0.10x_1 + 0.15x_2 + 0.20x_3 + 0.25x_4
x_1 + x_2 + x_3 + x_4 = 100,000
x_1 ≤ 50,000
x_2 ≤ 50,000
x_3 ≤ 50,000
x_4 ≤ 50,000
x_1 + x_2 ≥ 25,000
x_3 + x_4 ≤ 40,000
x_1, x_2, x_3, x_4 > 0",,Others without CSV - Others
"A power company generates electricity from four different power plants: x1, x2, x3, and x4. The operating cost per unit of electricity for each power plant is 10, 20, 30, and 40 units, respectively. The company's goal is to minimize the total generation cost. Due to equipment availability and facility constraints, the sum of the power generation from plants x1 and x2 cannot exceed 1000 units. Similarly, due to personnel scheduling and maintenance requirements, the sum of the power generation from plants x3 and x4 cannot exceed 2000 units. In addition, there are constraints related to the power demand from different power plants: the power generation from plant x3 should be at least 500 units more than plant x1, and the power generation from plant x4 should be at least 300 units more than plant x2. Considering that each power plant has a specific upper limit on power generation (700 for x1, 800 for x2, 900 for x3, and 1000 for x4) due to capacity constraints of equipment and facilities, the power generation must be in integer units as the unit of electricity cannot be fractional. Given these conditions, the question is: what is the minimum total generation cost (in unit cost) required under the optimal power generation allocation? Please round your answer to the nearest integer. # Response:",,"min 10x_1 + 20x_2 + 30x_3 + 40x_4
x_1 + x_2 ≤ 1000
x_3 + x_4 ≤ 2000
x_3 - x_1 ≥ 500
x_4 - x_2 ≥ 300
x_1 ≤ 700
x_2 ≤ 800
x_3 ≤ 900
x_4 ≤ 1000
x_1, x_2, x_3, x_4 ∈ Z+",,Others without CSV - Others
"A heavy industry company plans to operate products on three production lines (Line A, Line B, Line C). The available time, unit production cost, unit production time, unit product revenue, safety requirements, and production capacity of each production line are shown in the table below: | Production Line | Available Time (hours) | Unit Production Cost (USD) | Unit Production Time (hours) | Unit Product Revenue (USD) | Safety Requirement (units) | Production Capacity (units/hour) | |-----------------|-----------------------|----------------------------|------------------------------|----------------------------|----------------------------|---------------------------------| | A | 10 | 5 | 1 | 10 | 2 | 20 | | B | 8 | 6 | 2 | 15 | 3 | 15 | | C | 12 | 7 | 3 | 20 | 4 | 10 | The company's goal is to maximize the total daily revenue while minimizing the total production cost and meeting all safety requirements. In addition, you need to consider the following constraints: - The production time for each production line cannot exceed the available time. - The production volume for each production line cannot exceed its production capacity. - The safety requirements for each production line must be met. How should the company allocate production tasks to achieve the optimization goal while meeting all constraints? # Response:",,"max 5x_A + 9x_B + 13x_C
x_A ≤ 10
2x_B ≤ 8
3x_C ≤ 12
2 ≤ x_A ≤ 20
3 ≤ x_B ≤ 15
4 ≤ x_C ≤ 10
x_A, x_B, x_C ≥ 0",,Others without CSV - Others
"An education department official wants to bring internet education resources to four schools in rural areas. The number of students in these four schools are $x_1, x_2, x_3$, and $x_4$ respectively. The costs of infrastructure equipment such as computers and internet access for these schools are 10, 20, 30, and 40 units per student respectively. The goal is to maximize the efficiency of education resource utilization while satisfying certain constraints due to budget limitations and infrastructure capacity. Due to budget limitations, the combined allocation of resources for schools $x_1$ and $x_2$ cannot exceed 1000 units. Similarly, due to equipment limitations, the combined allocation for schools $x_3$ and $x_4$ cannot exceed 2000 units. In addition, there are constraints related to the number of students in different schools: The allocation for school $x_3$ should be at least 500 units more than that for school $x_1$. Similarly, the allocation for school $x_4$ should be at least 300 units more than that for school $x_2$. Given these conditions and the goal of integer resource allocation (as the number of students is an integer), as well as individual upper limits on resource allocation for each school (700 for school $x_1$, 800 for school $x_2$, 900 for school $x_3$, and 1000 for school $x_4$), the question is: Given the optimal resource allocation, what is the maximum education resource utilization efficiency (in units of efficiency)? Please round your answer to the nearest integer. # Response:",,"max 10x_1 + 20x_2 + 30x_3 + 40x_4
x_1 + x_2 ≤ 1000
x_3 + x_4 ≤ 2000
x_3 - x_1 ≥ 500
x_4 - x_2 ≥ 300
x_1 ≤ 700
x_2 ≤ 800
x_3 ≤ 900
x_4 ≤ 1000
x_1,x_2,x_3,x_4 \in Z^+",,Others without CSV - Others
"Assume you are a park manager and your task is to determine how to allocate the park's green space resources to maximize the park's ecosystem service value. The park has three main types of green spaces: grassland, woodland, and wetland. The contribution of each green space type to the park's ecosystem service value, the maintenance cost for each green space type, and the minimum and maximum area limits for each green space type are shown in the table below: | Green Space Type\Indicator | Ecosystem Service Value | Maintenance Cost | Minimum Area | Maximum Area | |---------------------------|------------------------|------------------|--------------|--------------| | Grassland | 5 | 2 | 10 | 50 | | Woodland | 7 | 3 | 20 | 60 | | Wetland | 9 | 4 | 30 | 70 | The park has a total of 100 acres of land available for allocation to these three green space types. Your goal is to maximize the park's ecosystem service value while satisfying all the green space area limits and the total area limit. The question is: How should the park's green space resources be allocated to maximize the park's ecosystem service value while satisfying the above conditions? # Response:",,"max 3x_1 + 4x_2 + 5x_3
10 ≤ x_1 ≤ 50
20 ≤ x_2 ≤ 60
30 ≤ x_3 ≤ 70
x_1 + x_2 + x_3 = 100
x_1, x_2, x_3 ≥ 0",,Others without CSV - Resource Allocation Problem
"An urban planner is designing a new urban area and plans to construct four types of buildings in the area: residential ($x1$), commercial facilities ($x2$), schools ($x3$), and parks ($x4$). The construction costs for each type of building are $x1$ = $500,000, $x2$ = $1,000,000, $x3$ = $1,500,000, and $x4$ = $2,000,000. Due to urban planning requirements, the following constraints must be satisfied: - The total number of residential and commercial buildings cannot exceed 100. - The total number of schools and parks cannot be less than 50. - The number of commercial facilities must be at least 20% of the number of residential buildings. - The number of schools cannot exceed 50% of the number of parks. Considering the budget constraint, the urban planner has a budget of $20,000,000. The number of buildings must be integers as we cannot construct fractional buildings. The problem is: How should the quantities of each type of building be planned to minimize the total construction cost while satisfying the budget and all constraints? What is the minimum total construction cost in millions of dollars, rounded to the nearest integer? # Response:",,"min 500,000x_1 + 1,000,000x_2 + 1,500,000x_3 + 2,000,000x_4
x_1 + x_2 ≤ 100
x_3 + x_4 ≥ 50
x_2 ≥ 0.2x_1
x_3 ≤ 0.5x_4
50x_1 + 100x_2 + 150x_3 + 200x_4 ≤ 20,000,000
x_1, x_2, x_3, x_4 ≥ 0",,Others without CSV - Resource Allocation Problem
"A telecommunications company is working on optimizing its customer service processes to improve user experience and customer satisfaction. The company has 5 different service channels: phone, email, SMS, online chat, and social media. Each channel has a different service quality and cost. Specifically, the service qualities for each channel are 0.9 for phone, 0.8 for email, 0.7 for SMS, 0.6 for online chat, and 0.5 for social media; and the costs for each channel are 10 yuan for phone, 8 yuan for email, 6 yuan for SMS, 4 yuan for online chat, and 2 yuan for social media. The company plans to allocate a budget of 10,000 yuan to these 5 service channels to meet the following service requirements: at least 2,000 yuan for phone, at least 1,500 yuan for email, at least 1,000 yuan for SMS, at least 500 yuan for online chat, and at least 300 yuan for social media. The goal is to allocate the budget in a way that maximizes the overall service quality while meeting the service requirements and budget constraints. How should the budget be allocated to achieve the optimal service quality? # Response:",,"max 0.9x_1 + 0.8x_2 + 0.7x_3 + 0.6x_4 + 0.5x_5
x_1 ≥ 2000
x_2 ≥ 1500
x_3 ≥ 1000
x_4 ≥ 500
x_5 ≥ 300
10x_1 +8x_2 + 6x_3 + 4x_4 + 2x_5 = 10000
x_1, x_2, x_3, x_4, x_5 ≥ 0",,Others without CSV - Resource Allocation Problem
"A manufacturing company produces two products: A and B. Both products require two resources: raw materials and labor. Producing one unit of product A requires 3 units of raw materials and 2 units of labor, while producing one unit of product B requires 2 units of raw materials and 3 units of labor. The company has 100 units of raw materials and 90 units of labor available for production each day. Due to market demand, the minimum daily production quantities for product A and product B are 20 units and 15 units, respectively. The profit per unit for product A is 5 units, and the profit per unit for product B is 6 units. The company's goal is to maximize the total profit per day. What should the company's daily production plan be to achieve maximum total profit? Please write a linear programming model to solve for the optimal production plan and calculate the maximum total profit per day. # Response:",,"max 5x_A + 6x_B
3x_A + 2x_B ≤ 100
2x_A + 3x_B ≤ 90
x_A ≥ 20
x_B ≥ 15",,Others without CSV - Resource Allocation Problem
"A mobile payment company is considering how to allocate its resources to optimize system security and user experience. The company has two types of resources available for allocation: security experts and UI designers, with costs of $x1 = 100$ and $x2 = 80$ dollars per hour, respectively. The company needs to handle four types of tasks each day: risk detection, security auditing, UI design, and user feedback analysis, with minimum resource requirements of $N1 = 5$, $N2 = 3$, $N3 = 2$, and $N4 = 1$, respectively. The allocation must comply with the following constraints: - The total working time for security experts cannot exceed 8 hours. - The total working time for UI designers cannot exceed 10 hours. - All task requirements must be met within a reasonable time frame. Assuming that each person works an integer number of hours on each task, the problem becomes how to allocate the working time for these two types of personnel to minimize the company's total operational cost. # Response:",,"min 100(x_11+x_12+x_13+x_14) + 80(x_21+x_22+x_23+x_24)
x_11 + x_21 ≥ 5
x_12 + x_22 ≥ 3
x_13 + x_23 ≥ 2
x_14 + x_24 ≥ 1
x_11 + x_12+x_13+x_14 ≤ 8
x_21+x_22+x_23+x_24 ≤ 10
x_11, x_12, x_13, x_14, x_21, x_22, x_23, x_24  ∈ Z+",,Others without CSV - Resource Allocation Problem
"A travel agency is planning to allocate resources for three different tourist routes: x1, x2, and x3. These routes may include different cities, attractions, and activities. The goal is to minimize the total cost associated with these routes, with costs of $100 for x1, $150 for x2, and $200 for x3. The allocation must comply with the following constraints set due to budget and resource limitations: 1. The total number of visitors for routes x1 and x2 cannot exceed 500. 2. The total number of visitors for routes x2 and x3 must be at least 300. 3. The difference in the number of visitors between routes x3 and x1 cannot exceed 100. Considering that each tourist route has specific limits on the number of visitors (x1: 100-500, x2: 50-400, x3: 0-300), due to the travel agency's operational capacity or policy regulations. Since all values are integers, as we cannot have fractional numbers of visitors, what is the travel agency's minimum total cost, rounded to the nearest dollar, for the optimal allocation of visitors among the three routes within the specified ranges? # Response:",,"min 100x_1 + 150x_2 + 200x_3
x_1 + x_2 ≤ 500
x_2 + x_3 ≥ 300
-100 ≤ x_3 - x_1 ≤ 100
100 ≤ x_1 ≤ 500
50 ≤ x_2 ≤ 400
0 ≤ x_3 ≤ 300
x_1, x_2, x_3  ∈  Z^+",,Others without CSV - Resource Allocation Problem
"A logistics compnay EW needs to load three types of of products, M1,M2,M3 into a fleet of delivery trucks. To be more specific, there are two trucks T1,T2. Each truck has a specific weight capacity c_1,c_2 , and each product has a predefined value v_1,v_2,v_3 and a particular weight w_1,w_2,w_3. The objective is to determine how many units of each product to load into each truck so that the total value of the products loaded across all trucks can be maximized and the total weight of the products loaded in each truck does not exceed the truck's weight capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of product M1,M2,M3 loaded into the truck T1,T2. For example, x_12 denotes the specific number of product M2 carried by the truck T1. Value information: v_1 = 10, v_2 = 20, v_3 = 8; Capacity information: c_1 = 25, c_2 = 30; Weight information: w_1 = 5, w_2 = 6, w_3 = 2.",,"max 10x_11 + 20x_12 + 8x_13 + 10x_21 + 20x_22 + 8x_23
subject to 
    5x_11 + 6x_12 + 2x_13 <= 25
    5x_21 + 6x_22 + 2x_23 <= 30
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Others without CSV - Resource Allocation Problem
"A healthcare logistics company, HS, needs to distribute three types of medical supplies M1,M2, M3 to two regional medical centers R1 and R2. Each center has a specific storage capacity, denoted as c_2,c_2. Each supply type has a predefined profit p_1,p_2,p_3 and a specific weight w_1,w_2,w_3. The goal is to determine the number of units of each medical supply to be delivered to and between the centers in such a way that the total value of supplies is maximized, while ensuring that the weight of supplies at each center does not exceed its capacity. The decision variables x_11, x_12, x_13, x_21, x_22, and x_23 represent the number of units of medical supplies M1,M2,M3 distributed into the regional medical centers R1,R2. Profit information: p_1 = 15, p_2 = 25, p_3 = 10; Capacity information: c_1 = 200, c_2 = 250; Weight information: w_1 = 3, w_2 = 4, w_3 = 2.",,"max 15x_11 + 25x_12 + 10x_13 + 15x_21 + 25x_22 + 10x_23
subject to 
3x_11 + 4x_12 + 2x_13 <= 200
3x_21 + 4x_22 + 2x_23 <= 250
x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Others without CSV - Resource Allocation Problem
"An e-commerce company needs to allocate warehouse space for three product lines, L1, L2, and L3, across two warehouses W1 and W2. Each warehouse has a storage capacity c_1, c_2, and each product line has a value r_1, r_2, r_3 and a required space s_1, s_2, s_3. The objective is to determine how many units of each product line to store in each warehouse to maximize revenue without exceeding storage capacity. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of product lines L1, L2, and L3 stored in warehouses W1 and W2. For example, x_12 denotes the units of product line L2 stored in warehouse W1.Revenue information: r_1 = 45, r_2 = 50, r_3 = 35; Capacity information: c_1 = 400, c_2 = 450; Space information: s_1 = 10, s_2 = 15, s_3 = 5.",,"max 45x_11 + 50x_12 + 35x_13 + 45x_21 + 50x_22 + 35x_23
subject to: 
    10x_11 + 15x_12 + 5x_13 <= 400
    10x_21 + 15x_22 + 5x_23 <= 450
    x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Others without CSV - Resource Allocation Problem
"A beverage company needs to allocate three different flavors of drinks, F1, F2, and F3, across two distribution centers D1 and D2. Each distribution center has a maximum storage capacity c_1, c_2, and each drink flavor has a predefined value v_1, v_2, v_3 and volume per unit v_1, v_2, v_3. The objective is to determine how many units of each flavor to store in each distribution center to maximize total profit while not exceeding the storage capacities. The decision variables x_11, x_12, x_13, x_21, x_22, x_23 represent the units of flavors F1, F2, and F3 stored in distribution centers D1 and D2. For example, x_12 denotes the number of units of flavor F2 stored in distribution center D1.Revenue information: v_1 = 15, v_2 = 25, v_3 = 18; Capacity information: c_1 = 500, c_2 = 600; Volume per unit information: v_1 = 3, v_2 = 4, v_3 = 2.",,"max 15x_11 + 25x_12 + 18x_13 + 15x_21 + 25x_22 + 18x_23

subject to

3x_11 + 4x_12 + 2x_13 <= 500

3x_21 + 4x_22 + 2x_23 <= 600

x_11, x_12, x_13, x_21, x_22, x_23 ∈ Z+",,Others without CSV - Resource Allocation Problem
"A university library is planning how to best share its resources to meet the needs of students. The library has four types of resources: x1 (science books), x2 (engineering books), x3 (art books), and x4 (humanities and social science books). The quantities of each resource are 100, 200, 300, and 400, respectively. The library wants to maximize its service to students while satisfying the following constraints. Due to quantity limitations, the total number of borrowings for x1 and x2 should not exceed 150, and the total number of borrowings for x3 and x4 should not exceed 350. In addition, there are some demand-related constraints: the number of borrowings for x3 should be at least 50 more than x1, and the number of borrowings for x4 should be at least 100 more than x2. Given all these constraints, how should the library allocate its resources to maximize its service to students?",,"Objective Function:
Maximize Z = x1 + x2 + x3 + x4

Subject to the constraints:
x1 + x2 <= 150
x3 + x4 <= 350
x3 >= x1 + 50
x4 >= x2 + 100
x1 <= 100
x2 <= 200
x3 <= 300
x4 <= 400

And the non-negativity constraints:
x1, x2, x3, x4 >= 0

Also, the decision variables are integers (x1, x2, x3, x4 ∈ Z+), which makes this an integer linear programming problem.",,Others without CSV - Resource Allocation Problem
"A telecom company manages two data centers, Data Center 1 and Data Center 2. The total computing capacity of these two data centers is $C_1 = 1000$ units and $C_2 = 1500$ units, respectively. The company needs to allocate computing resources to three different services (Service 1, Service 2, and Service 3) with computing demands of $D_1 = 500$ units, $D_2 = 400$ units, and $D_3 = 600$ units, respectively. The cost per unit of computing resources is $C_r = 10$ yuan. The company needs to satisfy the following conditions: - The computing resource allocation for each data center cannot exceed its total computing capacity, i.e., $0 \leq r_i \leq C_i$, where $r_i$ is the computing resource allocated to a specific service for all $i$. - The computing demands for each service must be met, where $j$ is the service number for all $j$. The objective of the company is to minimize the total cost. The problem is: How should the company allocate computing resources for each data center to minimize the total cost while satisfying all the conditions? ",,"min 10(r_11+r_12+r_13+r_21+r_22+r_23)
r_11 + r_12 + r_13 ≤ 1000
r_21 + r_22 + r_23 ≤ 1500
r_11 + r_21 = 500
r_12 + r_22 = 400
r_13 + r_23 = 600
r_11, r_12, r_13, r_21, r_22, r_23 ≥ 0",,Others without CSV - Transportation Problem
"A city has 3 different waste treatment facilities, each with different processing capacities and costs. The city needs to determine how much waste each facility should process to meet the city's waste management needs while minimizing the total processing cost. The details of the facilities are as follows: | Facility | Processing Capacity (tons) | Processing Cost (yuan/ton) | |----------|---------------------------|----------------------------| | A | 100 | 50 | | B | 200 | 40 | | C | 300 | 60 | The total waste management demand for the city is 500 tons. Please design a waste management plan and calculate the minimum total processing cost. # Response:",,"min 50x_A + 40x_B + 60x_C
x_A + x_B + x_C = 500
x_A ≤ 100
x_B ≤ 200
x_C ≤ 300
x_A , x_B ,x_C ≥ 0",,Others without CSV - Transportation Problem
"A city has three water sources: a lake, groundwater, and a river. Each water source has a total supply and a unit extraction cost. The details for each water source are given in the table below: | Water Source | Total Supply (million cubic meters) | Unit Extraction Cost (yuan/cubic meter) | | ------------ | ---------------------------------- | -------------------------------------- | | Lake | 50 | 2 | | Groundwater | 30 | 3 | | River | 20 | 1 | The city needs to meet the water demand of four main areas, with the demand for each area given in the table below: | Area | Water Demand (million cubic meters) | | ---- | ---------------------------------- | | A | 40 | | B | 30 | | C | 20 | | D | 10 | The transportation cost from each water source to each area is also different, as shown in the table below: | Water Source\Area | A | B | C | D | | ----------------- | ---- | ---- | ---- | ---- | | Lake | 2 | 1 | 3 | 4 | | Groundwater | 3 | 2 | 1 | 2 | | River | 4 | 3 | 2 | 1 | Your task is to determine the water allocation from each water source to each area in order to minimize the total cost. The total cost consists of the extraction cost and transportation cost. What is the optimal water allocation from each water source to each area that minimizes the total cost while meeting the water demand of all areas? # Response:",,"min 4x_1A + 6x_2A + 5x_3A + 3x_1B + 5x_2B + 4x_3B + 5x_1C + 4x_2C + 3x_3C + 6x_1D + 5x_2D + 2x_3D 
x_1A + x_2A + x_3A ≥ 40
x_1B + x_2B + x_3B ≥ 30
x_1C + x_2C + x_3C ≥ 20
x_1D + x_2D + x_3D ≥ 10
x_1A + x_1B + x_1C + x_1D ≤ 50
x_2A + x_2B + x_2C + x_2D ≤ 30
x_3A + x_3B + x_3C + x_3D ≤ 20
x_1A, x_1B, x_1C, x_1D, x_2A, x_2B, x_2C, x_2D, x_3A, x_3B, x_3C, x_3D ≥ 0",,Others without CSV - Transportation Problem
"An electronics manufacturer needs to decide which of two possible suppliers to purchase two types of components, A and B, from. The table below lists the supply capabilities and costs of each supplier: | Supplier | Supply Capability of Component A | Supply Capability of Component B | Cost of Component A | Cost of Component B | | -------- | ------------------------------- | ------------------------------- | ------------------- | ------------------- | | 1 | 500 | 300 | 2 | 3 | | 2 | 300 | 200 | 3 | 2 | The manufacturer has a demand for 800 units of component A and 500 units of component B. Additionally, due to contractual requirements with the suppliers, the manufacturer must purchase at least one type of component from each supplier. The manufacturer's objective is to minimize the total cost while meeting these demands and constraints. Question: What is the minimum total cost for the manufacturer, given all the demands and constraints? # Response:",,"min 2a_1 + 3b_1 + 3a_2 + 2b_2
a_1 + a_2 ≥ 800
b_1 + b_2 ≥ 500
a_1 ≤ 500
b_1 ≤ 300
a_2 ≤ 300
b_2 ≤ 200
a_1 + b_1 ≥ 1
a_2 + b_2 ≥ 1
a_1, a_2, b_1, b_2 ≥ 0",,Others without CSV - Transportation Problem
"A fashion retailer needs to determine the optimal delivery for three clothing items, C1, C2, and C3, across three stores, S1, S2, and S3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each clothing item to ship to each store to minimize the total distribution costs while satisfying the demand. The specific transportation cost can be The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of clothing items C1, C2, and C3 shipped to stores S1, S2, and S3. For example, x_12 denotes the units of clothing item C2 shipped to store S1.Demand information: d_1 = 120, d_2 = 150, d_3 = 180; Distribution cost information: t_11 = 8, t_12 = 10, t_13 = 12, t_21 = 9, t_22 = 11, t_23 = 13, t_31 = 10, t_32 = 12, t_33 = 14",,"min 8x_11 + 10x_12 + 12x_13 + 9x_21 + 11x_22 + 13x_23 + 10x_31 + 12x_32 + 14x_33
subject to 
    x_11 + x_12 + x_13 >= 120
    x_21 + x_22 + x_23 >= 150
    x_31 + x_32 + x_33 >= 180
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ Z+",,Others without CSV - Transportation Problem
"A furniture retailer needs to determine the optimal delivery for three furniture items, F1, F2, and F3, across three warehouses, W1, W2, and W3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each furniture item to ship to each warehouse to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of furniture items F1, F2, and F3 shipped to warehouses W1, W2, and W3. For example, x_12 denotes the units of furniture item F2 shipped to warehouse W1.Demand information: d_1 = 100, d_2 = 200, d_3 = 150
Distribution cost information: t_11 = 7, t_12 = 9, t_13 = 11, t_21 = 8, t_22 = 10, t_23 = 12, t_31 = 9, t_32 = 11, t_33 = 13",,"min 7x_11 + 9x_12 + 11x_13 + 8x_21 + 10x_22 + 12x_23 + 9x_31 + 11x_32 + 13x_33
subject to
    x_11 + x_12 + x_13 >= 100
    x_21 + x_22 + x_23 >= 200
    x_31 + x_32 + x_33 >= 150
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ Z+",,Others without CSV - Transportation Problem
"A toy retailer needs to determine the optimal delivery for three popular toys, T1, T2, and T3, across three stores, S1, S2, and S3, to minimize their overall distribution costs while meeting demand. The demand for each toy is d_1, d_2, d_3. The goal is to determine how many units of each toy to ship to each store to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of toys T1, T2, and T3 shipped to stores S1, S2, and S3. For example, x_12 denotes the units of toy T2 shipped to store S1.Demand information: d_1 = 70, d_2 = 90, d_3 = 80
Distribution cost information: t_11 = 9, t_12 = 11, t_13 = 13, t_21 = 10, t_22 = 12, t_23 = 14, t_31 = 11, t_32 = 13, t_33 = 15",,"min 9x_11 + 11x_12 + 13x_13 + 10x_21 + 12x_22 + 14x_23 + 11x_31 + 13x_32 + 15x_33
subject to
x_11 + x_12 + x_13 >= 70
x_21 + x_22 + x_23 >= 90
x_31 + x_32 + x_33 >= 80
x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ Z+",,Others without CSV - Transportation Problem
"A sporting goods retailer needs to determine the optimal delivery for three types of sporting goods, S1, S2, and S3, across three stores, T1, T2, and T3, to minimize their overall distribution costs while meeting demand. The demand for each item is d_1, d_2, d_3. The goal is to determine how many units of each sporting good to ship to each store to minimize the total distribution costs while satisfying the demand. The decision variables x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 represent the units of sporting goods S1, S2, and S3 shipped to stores T1, T2, and T3. For example, x_12 denotes the units of sporting good S2 shipped to store T1.Demand information: d_1 = 110, d_2 = 140, d_3 = 120
Distribution cost information: t_11 = 7, t_12 = 9, t_13 = 11, t_21 = 8, t_22 = 10, t_23 = 12, t_31 = 9, t_32 = 11, t_33 = 13",,"min 7x_11 + 9x_12 + 11x_13 + 8x_21 + 10x_22 + 12x_23 + 9x_31 + 11x_32 + 13x_33
subject to 
    x_11 + x_12 + x_13 >= 110
    x_21 + x_22 + x_23 >= 140
    x_31 + x_32 + x_33 >= 120
    x_11, x_12, x_13, x_21, x_22, x_23, x_31, x_32, x_33 ∈ Z+",,Others without CSV - Transportation Problem
"In a seaside town, three beverage plants (D1, D2, and D3) can supply up top_1,p_2, andp_3bottles of beverages per day, respectively. They need to supply these beverages to two bars (B1 and B2), which required_1andd_2bottles of beverages per day, respectively. The transportation costs per bottle are as follows: from D1 to B1 ist_11dollars, to B2 ist_12dollars; from D2 to B1 ist_21dollars, to B2 ist_22dollars; from D3 to B1 ist_31dollars, to B2 ist_32dollars. The beverage plants need to devise a transportation plan to minimize the total cost of transporting beverages to the bars while meeting their demands. Lety_11andy_12represent the bottles of beverages transported from beverage plant D1 to bars B1 and B2, respectively. Lety_21andy_22represent the bottles of beverages transported from beverage plant D2 to bars B1 and B2, respectively. Lety_31andy_32represent the bottles of beverages transported from beverage plant D3 to bars B1 and B2, respectively.Production capacity: p_1 = 45, p_2 = 370, p_3 = 280; Demand: d_1 = 500, d_2 = 120; Transportation costs: t_11 = 4, t_12 = 7; t_21 = 5, t_22 = 6; t_31 = 9, t_32 = 3",,"min 4y_11 + 7y_12 + 5y_21 + 6y_22 + 9y_31 + 3y_32
subject to
    y_11 + y_12 <= 45
    y_21 + y_22 <= 370
    y_31 + y_32 <= 280
    y_11 + y_21 + y_31 = 500
    y_12 + y_22 + y_32 = 120
    y_11, y_12, y_21, y_22, y_31, y_32 ∈ Z+",,Others without CSV - Transportation Problem
"In a healthcare center, three suppliers (S1, S2, and S3) can supply up top_1,p_2, andp_3sets of medical equipment per day, respectively. They need to supply these equipment sets to two hospitals (H1 and H2), which required_1andd_2sets of equipment per day, respectively. The transportation costs per set are as follows: from S1 to H1 ist_11dollars, to H2 ist_12dollars; from S2 to H1 ist_21dollars, to H2 ist_22dollars; from S3 to H1 ist_31dollars, to H2 ist_32dollars. The suppliers need to devise a transportation plan to minimize the total cost of transporting equipment to the hospitals while meeting their demands. Letz_11andz_12represent the sets of equipment transported from supplier S1 to hospitals H1 and H2, respectively. Letz_21andz_22represent the sets of equipment transported from supplier S2 to hospitals H1 and H2, respectively. Letz_31andz_32represent the sets of equipment transported from supplier S3 to hospitals H1 and H2, respectively. These variables all must be positive integers.Supply capacity: p_1 = 90, p_2 = 460, p_3 = 320; Demand: d_1 = 600, d_2 = 250; Transportation costs: t_11 = 22, t_12 = 18; t_21 = 20, t_22 = 24; t_31 = 25, t_32 = 15",,"min 22z_11 + 18z_12 + 20z_21 + 24z_22 + 25z_31 + 15z_32
subject to
    z_11 + z_12 <= 90
    z_21 + z_22 <= 460
    z_31 + z_32 <= 320
    z_11 + z_21 + z_31 = 600
    z_12 + z_22 + z_32 = 250
    z_11, z_12, z_21, z_22, z_31, z_32 ∈ Z+",,Others without CSV - Transportation Problem
